IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE
-,3132.15,3920.1,20400,-,3705.95,3793.7,20350,-,-,-,22500,-,-,-,17000,-,-,-,13000
-,3088.9,3949.1,20450,-,3640.8,3788.25,20400,-,-,-,22550,-,-,-,18000,-,-,-,15000
-,3447.1,3566.5,20500,-,3226,3802.25,20450,-,-,-,22600,-,-,-,19000,-,-,-,16000
-,2992,4672.15,20550,-,3578.55,3639.75,20500,-,-,-,22650,-,-,-,20000,-,-,-,16500
-,2957.25,3706.85,20600,-,3135,3702.15,20550,-,-,-,22700,-,3532.35,3861.2,21000,-,7021,8310,17000
-,3310.15,3429.95,20650,-,3318.45,3597.25,20600,-,-,-,22750,-,2682.35,2730,22000,-,-,6800,18000
-,2870.2,3600.1,20700,-,3047.6,3598.15,20650,-,-,-,22800,-,1889.15,1939.95,23000,-,-,6000,19000
-,3202.6,3668.7,20750,-,3029.1,3493.3,20700,-,-,-,22850,9.39,1220,1235.55,24000,-,-,-,19500
-,2782.95,3569.05,20800,-,2959.4,3502.35,20750,-,-,-,22900,10.54,675.1,688.1,25000,-,4708.9,4768.45,20000
-,2740.05,3514.35,20850,20.87,2986.7,3359.95,20800,-,-,-,22950,10.89,321,330,26000,-,3871.25,3921.95,21000
-,3051.7,3165.55,20900,20.93,2887.45,3379.85,20850,-,1590.25,1700.7,23000,10.96,132,141.45,27000,-,3077.65,3116.4,22000
-,2650.2,3328.9,20950,21.14,2895.85,3297.35,20900,-,-,-,23050,11.49,56,59,28000,-,2305.9,2333,23000
-,2947.15,3010,21000,21.24,2796.75,3287.55,20950,-,1511.95,-,23100,13.45,39.2,43.9,29000,6.56,1633,1650.55,24000
-,2280.25,3227,21050,-,3099.05,3138.2,21000,-,-,-,23150,,,,,8.56,1035.8,1048.85,25000
-,2842.5,3371.6,21100,21.31,2710.15,3185.2,21050,-,1358.9,-,23200,,,,,9.26,585,605,26000
-,2806.05,2933.05,21150,-,2709.75,3100.65,21100,-,-,-,23250,,,,,9.74,308.85,316.05,27000
-,2131.5,3070.2,21200,21.52,2620.9,3089.95,21150,-,1170.15,-,23300,,,,,10.1,156,159,28000
-,2390.65,3019.1,21250,-,2863.05,2962.25,21200,-,-,-,23350,,,,,10.92,91.3,98.85,29000
-,2386.9,3027.15,21300,21.73,2531.15,2987.45,21250,-,979.7,1435.65,23400,,,,,11.97,58.1,60.95,30000
-,2302.85,2970.15,21350,20.08,2486.7,2898.45,21300,-,-,-,23450,,,,,12.85,39.65,40.5,31000
-,2298.1,2858.9,21400,21.21,2437.6,2894.05,21350,11.68,865.25,-,23500,,,,,,,,
-,2494.7,2986.8,21450,20.37,2394.35,2776,21400,-,-,-,23550,,,,,,,,
48.5,2464.35,2573.55,21500,21.25,2350.2,2788.85,21450,-,1170.35,2176.55,23600,,,,,,,,
-,2405.95,2536.55,21550,-,2615.75,2648.95,21500,-,-,1425.5,23650,,,,,,,,
-,2171.65,2652.55,21600,21.22,2260.15,2696,21550,-,1106.9,2095,23700,,,,,,,,
-,2308.65,2416,21650,20.54,2220.75,2574.55,21600,-,-,1382.1,23750,,,,,,,,
-,2259.8,2383.55,21700,21.56,2166.05,2593.85,21650,-,1029.35,2011.75,23800,,,,,,,,
-,2210.25,2323.25,21750,-,2128.95,2471.55,21700,-,-,1086.7,23850,,,,,,,,
-,1913.85,2481.75,21800,-,2083.25,2490.25,21750,8.83,972.5,1155.95,23900,,,,,,,,
-,2111.05,2229.05,21850,-,2331.1,2379.4,21800,-,-,-,23950,,,,,,,,
-,2059.15,2169.05,21900,20.92,2005.3,2567.2,21850,10.92,927.75,940.45,24000,,,,,,,,
-,2006,2134.5,21950,-,2237.7,2276.9,21900,12.4,833.85,-,24050,,,,,,,,
-,1998.15,2072.6,22000,-,2173.35,2268.7,21950,11.95,618,939.25,24100,,,,,,,,
86,1894.2,2083.8,22050,-,2149.95,2173,22000,-,-,1085.45,24150,,,,,,,,
76.83,1887.45,1959.4,22100,-,2069.85,2230.45,22050,-,796.35,1013.8,24200,,,,,,,,
-,1603.65,2099.3,22150,-,2051.65,2091.1,22100,10.03,-,922,24250,,,,,,,,
-,1803.65,1827.65,22200,19.97,1715.65,2176.55,22150,11.69,735.9,799.35,24300,,,,,,,,
-,1513.85,1977.75,22250,-,1961.8,1995.7,22200,-,689.05,782.8,24350,,,,,,,,
55.84,1678.4,1772.9,22300,15.48,1876.95,2060.7,22250,-,582.25,804.8,24400,,,,,,,,
-,1646.35,1728.3,22350,14.55,1870,1906.95,22300,-,519.4,824.6,24450,,,,,,,,
-,1580.65,1677.35,22400,16.03,1790.75,1976.45,22350,11.15,645.45,-,24500,,,,,,,,
34.46,1510.45,1627.85,22450,-,1784.1,1845.3,22400,-,-,779.7,24550,,,,,,,,
-,1510.45,1577.05,22500,19.02,1709.9,1834.35,22450,-,548.8,953.05,24600,,,,,,,,
-,1442.05,1484.35,22550,-,1704.2,1714.7,22500,-,-,720.8,24650,,,,,,,,
-,1411.9,1433.85,22600,11.51,1616.85,1715.1,22550,12.07,398.95,610.35,24700,,,,,,,,
-,1342.35,1388.25,22650,16.12,1605.25,1632.55,22600,-,-,698.05,24750,,,,,,,,
-,1305.65,1337.85,22700,-,1532.8,1670.6,22650,-,473.6,889.9,24800,,,,,,,,
28.72,1253.9,1289.25,22750,-,1529.1,1540.95,22700,-,-,566.3,24850,,,,,,,,
-,1207.5,1237.5,22800,17.52,1442,1569.45,22750,-,431.45,538.15,24900,,,,,,,,
-,1160.95,1187.15,22850,-,1420.95,1456.5,22800,-,-,850.85,24950,,,,,,,,
-,1108.55,1139.45,22900,17.13,1363.7,1489.05,22850,11.41,423.25,442.05,25000,,,,,,,,
-,1070.65,1089.75,22950,-,1338,1367.85,22900,-,-,-,25050,,,,,,,,
-,1029,1035,23000,-,1298.2,1397.2,22950,-,332.8,446.3,25100,,,,,,,,
29.07,959.55,999.1,23050,7.6,1260.9,1265.65,23000,-,-,-,25150,,,,,,,,
-,924.65,940,23100,13.35,1203.25,1343.05,23050,11.62,332.95,412.35,25200,,,,,,,,
23.05,875.4,902.6,23150,12.47,1169.1,1200.65,23100,-,-,-,25250,,,,,,,,
-,836.05,845.8,23200,10.52,1131.2,1226.45,23150,-,298.95,377.35,25300,,,,,,,,
-,776.45,807.15,23250,11.88,1093.7,1103,23200,-,-,-,25350,,,,,,,,
-,742.3,751.6,23300,15.58,1051.2,1135.45,23250,-,261.7,368.35,25400,,,,,,,,
-,680.6,706.6,23350,12.21,1019.6,1035.3,23300,-,-,-,25450,,,,,,,,
-,645.6,659.55,23400,12.79,778.95,1010.8,23350,-,233.35,397.55,25500,,,,,,,,
-,602.6,612.75,23450,12.09,940.5,965.4,23400,-,-,825,25550,,,,,,,,
-,560,564.65,23500,13.99,883.7,950.9,23450,-,174.3,774.95,25600,,,,,,,,
-,512,521.5,23550,12.57,864.95,871.95,23500,-,-,725,25650,,,,,,,,
-,468.55,476.75,23600,12.69,819.45,890.3,23550,-,191.55,625,25700,,,,,,,,
8.18,424.8,433.65,23650,12.77,794.85,810.4,23600,-,-,500,25750,,,,,,,,
9.03,385.25,391.15,23700,12.76,751.9,784.75,23650,-,-,300,25800,,,,,,,,
10.04,344.4,347.85,23750,12.69,718.35,727.35,23700,-,-,420,25850,,,,,,,,
11.47,305.4,309.85,23800,13.03,685.55,702.35,23750,-,-,340,25900,,,,,,,,
10.94,268.05,275.25,23850,13.44,653.2,660.9,23800,-,-,350,25950,,,,,,,,
11.68,232.8,237,23900,13.11,623.8,640.05,23850,12.35,152,162.25,26000,,,,,,,,
11.89,201.05,202.95,23950,13.05,588.75,594.6,23900,,,,,,,,,,,,
11.92,171.85,172.85,24000,13.18,555.85,572,23950,,,,,,,,,,,,
11.91,145.15,146.45,24050,13.36,528.25,533.95,24000,,,,,,,,,,,,
11.75,120.75,122.7,24100,13.55,495.75,514.5,24050,,,,,,,,,,,,
12.21,100.6,102,24150,12.99,468.25,474.6,24100,,,,,,,,,,,,
12.25,82.7,83.4,24200,13.11,439.8,468.8,24150,,,,,,,,,,,,
12.39,67.95,68.65,24250,13.19,418.8,419,24200,,,,,,,,,,,,
12.53,55.75,56.5,24300,12.95,386.7,405.75,24250,,,,,,,,,,,,
12.87,46.15,46.8,24350,13.09,361.2,366.25,24300,,,,,,,,,,,,
13.1,37.55,38.35,24400,12.92,337.75,354,24350,,,,,,,,,,,,
13.31,31.3,31.8,24450,12.97,313.35,319,24400,,,,,,,,,,,,
13.67,26.6,27,24500,12.84,290.15,300.95,24450,,,,,,,,,,,,
13.95,22.05,22.9,24550,12.58,271,274,24500,,,,,,,,,,,,
14.37,19.05,19.35,24600,12.77,249.45,280.25,24550,,,,,,,,,,,,
14.68,16,16.55,24650,12.65,231.15,236.45,24600,,,,,,,,,,,,
15.04,13.55,13.7,24700,12.72,213.3,221.55,24650,,,,,,,,,,,,
15.42,11.4,11.95,24750,12.72,198.1,201.35,24700,,,,,,,,,,,,
15.56,9.5,9.8,24800,12.68,179.9,188.1,24750,,,,,,,,,,,,
16.02,8.1,8.45,24850,12.55,165.35,169.85,24800,,,,,,,,,,,,
16.28,7.1,7.35,24900,12.63,146.2,160.75,24850,,,,,,,,,,,,
16.61,6.05,6.2,24950,12.68,138.55,143.05,24900,,,,,,,,,,,,
16.9,5.05,5.25,25000,12.64,123.35,139.5,24950,,,,,,,,,,,,
17.23,4.45,4.85,25050,12.72,118.2,120.75,25000,,,,,,,,,,,,
17.49,3.8,3.9,25100,12.63,95.3,155,25050,,,,,,,,,,,,
17.69,3.35,3.6,25150,12.8,95.7,99.65,25100,,,,,,,,,,,,
18.02,2.7,2.75,25200,12.66,87.7,94.2,25150,,,,,,,,,,,,
18.44,2.5,2.8,25250,12.55,75.3,80,25200,,,,,,,,,,,,
18.88,2.25,2.4,25300,12.63,72.1,79.25,25250,,,,,,,,,,,,
19.35,2.1,2.35,25350,12.63,66.35,68,25300,,,,,,,,,,,,
19.81,1.95,2,25400,12.7,58.9,69.9,25350,,,,,,,,,,,,
20.17,1.8,1.85,25450,12.57,53.75,57.85,25400,,,,,,,,,,,,
20.79,1.8,1.9,25500,12.76,49.55,59.75,25450,,,,,,,,,,,,
21.25,1.65,1.7,25550,12.76,45.75,46,25500,,,,,,,,,,,,
21.62,1.55,1.6,25600,12.83,41.55,47.3,25550,,,,,,,,,,,,
22.13,1.45,1.55,25650,13,38.15,40,25600,,,,,,,,,,,,
22.64,1.5,1.6,25700,13.01,34.5,41.55,25650,,,,,,,,,,,,
23.23,1.4,1.5,25750,13.44,33,35.1,25700,,,,,,,,,,,,
23.62,1.3,1.4,25800,13.14,29.25,38.2,25750,,,,,,,,,,,,
24.21,1.3,1.4,25850,13.24,28,28.1,25800,,,,,,,,,,,,
24.78,1.3,1.35,25900,13.41,25.5,180.1,25850,,,,,,,,,,,,
25.25,1.25,1.3,25950,13.3,24.15,25.9,25900,,,,,,,,,,,,
25.71,1.2,1.25,26000,-,16.1,49,25950,,,,,,,,,,,,
26.16,1.2,1.25,26050,13.59,20.5,22.8,26000,,,,,,,,,,,,
26.6,1.1,1.15,26100,14.21,19.55,23.95,26050,,,,,,,,,,,,
,,,,14.02,19,20,26100,,,,,,,,,,,,